From	Entry	Transmembrane	Transit peptide	Gene Ontology (cellular component)
Q8TDY2	Q8TDY2			Atg1/ULK1 kinase complex [GO:1990316]; autophagosome membrane [GO:0000421]; cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; extrinsic component of membrane [GO:0019898]; lysosome [GO:0005764]; nuclear membrane [GO:0031965]; phagophore assembly site [GO:0000407]; phagophore assembly site membrane [GO:0034045]
Q94AU9	Q94AU9		"TRANSIT 1..45; /note=""Chloroplast""; /evidence=""ECO:0000269|PubMed:21922322"""	chloroplast thylakoid [GO:0009534]
Q9LIS2	Q9LIS2		"TRANSIT 1..33; /note=""Mitochondrion""; /evidence=""ECO:0000255"""	cytosol [GO:0005829]; extracellular space [GO:0005615]; mitochondrion [GO:0005739]
Q3V089	Q3V089			catalytic step 2 spliceosome [GO:0071013]; cytoplasm [GO:0005737]; intercellular bridge [GO:0045171]
P35290	P35290			autophagosome [GO:0005776]; cytosol [GO:0005829]; endocytic vesicle [GO:0030139]; endosome [GO:0005768]; membrane [GO:0016020]; mitochondrion [GO:0005739]
Q9LE82	Q9LE82			cell division site [GO:0032153]; cell plate [GO:0009504]; cytosol [GO:0005829]; nuclear envelope [GO:0005635]; nuclear membrane [GO:0031965]; phragmoplast [GO:0009524]; spindle [GO:0005819]
Q8IUH3	Q8IUH3			cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ribonucleoprotein complex [GO:1990904]
P10795	P10795		"TRANSIT 1..54; /note=""Chloroplast""; /evidence=""ECO:0000255|HAMAP-Rule:MF_00860"""	apoplast [GO:0048046]; chloroplast [GO:0009507]; chloroplast envelope [GO:0009941]; chloroplast membrane [GO:0031969]; chloroplast stroma [GO:0009570]; chloroplast thylakoid membrane [GO:0009535]; cytosolic ribosome [GO:0022626]; mitochondrion [GO:0005739]; thylakoid [GO:0009579]; thylakoid lumen [GO:0031977]
Q4VGL6	Q4VGL6			cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; P-body [GO:0000932]
Q8RY59	Q8RY59			cytoplasm [GO:0005737]; nuclear matrix [GO:0016363]; nucleus [GO:0005634]
Q9XIB5	Q9XIB5			nucleus [GO:0005634]; plasma membrane [GO:0005886]
Q9P2R6	Q9P2R6			histone deacetylase complex [GO:0000118]; nucleus [GO:0005634]
O94623	O94623			mitochondrial chromosome [GO:0000262]; mitotic spindle [GO:0072686]; nucleolus [GO:0005730]; nucleus [GO:0005634]; site of double-strand break [GO:0035861]
Q9Y5S9	Q9Y5S9			catalytic step 2 spliceosome [GO:0071013]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendrite [GO:0030425]; exon-exon junction complex [GO:0035145]; exon-exon junction subcomplex mago-y14 [GO:1990501]; neuronal cell body [GO:0043025]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; U2-type catalytic step 1 spliceosome [GO:0071006]
Q8NG50	Q8NG50			Cajal body [GO:0015030]; cytosol [GO:0005829]; nucleolus [GO:0005730]; PML body [GO:0016605]
F4JW79	F4JW79			DSIF complex [GO:0032044]; nucleoplasm [GO:0005654]
Q9ZVH8	Q9ZVH8			nucleus [GO:0005634]
Q9SG02	Q9SG02			nuclear RNA-directed RNA polymerase complex [GO:0031380]; nucleus [GO:0005634]
P21651	P21651			condensed nuclear chromosome [GO:0000794]; nucleus [GO:0005634]
Q9XUB3	Q9XUB3			chromatin [GO:0000785]; chromosome [GO:0005694]; cohesin complex [GO:0008278]; condensed nuclear chromosome [GO:0000794]; cytoplasm [GO:0005737]; meiotic spindle pole [GO:0090619]; nuclear meiotic cohesin complex [GO:0034991]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spindle microtubule [GO:0005876]; synaptonemal complex [GO:0000795]
Q8C5S7	Q8C5S7			cohesin complex [GO:0008278]; condensed chromosome [GO:0000793]; condensed chromosome, centromeric region [GO:0000779]; condensed nuclear chromosome [GO:0000794]; kinetochore [GO:0000776]; lateral element [GO:0000800]; male germ cell nucleus [GO:0001673]; meiotic cohesin complex [GO:0030893]; nuclear meiotic cohesin complex [GO:0034991]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; synaptonemal complex [GO:0000795]
O94761	O94761			chromosome [GO:0005694]; chromosome, telomeric region [GO:0000781]; cytoplasm [GO:0005737]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q9HAU5	Q9HAU5			cytoplasm [GO:0005737]; cytoplasmic ribonucleoprotein granule [GO:0036464]; cytosol [GO:0005829]; exon-exon junction complex [GO:0035145]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; polysome [GO:0005844]
P03872	P03872			nucleus [GO:0005634]
Q10164	Q10164			cell division site [GO:0032153]; cell tip [GO:0051286]; cytoplasm [GO:0005737]; growing cell tip [GO:0035838]; mitotic actomyosin contractile ring [GO:0110085]; mitotic actomyosin contractile ring, intermediate layer [GO:0120105]; nucleus [GO:0005634]
Q09697	Q09697			cell cortex of cell tip [GO:0051285]; cell division site [GO:0032153]; cytoplasm [GO:0005737]; division septum [GO:0000935]; growing cell tip [GO:0035838]; medial cortex [GO:0031097]; plasma membrane [GO:0005886]
Q9Y7U6	Q9Y7U6			cell cortex of cell tip [GO:0051285]; cell tip [GO:0051286]; division septum [GO:0000935]; nucleus [GO:0005634]
O14106	O14106			mitochondrion [GO:0005739]; nucleus [GO:0005634]
P81128	P81128			actin cytoskeleton [GO:0015629]; ciliary basal body [GO:0036064]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
P36607	P36607			cytoplasm [GO:0005737]; nucleus [GO:0005634]; site of double-strand break [GO:0035861]
Q93454	Q93454			anchoring junction [GO:0070161]; axon [GO:0030424]; nuclear pore [GO:0005643]; synapse [GO:0045202]
Q9P0K7	Q9P0K7			anchoring junction [GO:0070161]; cell cortex [GO:0005938]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; fibrillar center [GO:0001650]; nucleoplasm [GO:0005654]
Q9BTL3	Q9BTL3			mRNA cap binding complex [GO:0005845]; mRNA cap methyltransferase complex [GO:0031533]; nucleus [GO:0005634]
Q9CW46	Q9CW46			cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q8NDT2	Q8NDT2			nuclear envelope [GO:0005635]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; RNA N6-methyladenosine methyltransferase complex [GO:0036396]
Q08742	Q08742		"TRANSIT 1..25; /note=""Mitochondrion""; /evidence=""ECO:0000255"""	mitochondrion [GO:0005739]
O82504	O82504			nuclear RNA-directed RNA polymerase complex [GO:0031380]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q8RY99	Q8RY99		"TRANSIT 1..15; /note=""Mitochondrion""; /evidence=""ECO:0000255"""	mitochondrion [GO:0005739]
P18754	P18754			chromatin [GO:0000785]; chromosome [GO:0005694]; condensed nuclear chromosome [GO:0000794]; cytoplasm [GO:0005737]; nuclear membrane [GO:0031965]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]
Q54XQ2	Q54XQ2			cell cortex [GO:0005938]; cytoplasm [GO:0005737]; plasma membrane [GO:0005886]
P53972	P53972			nucleolus [GO:0005730]; nucleus [GO:0005634]
P90897	P90897			cytoplasm [GO:0005737]; nucleus [GO:0005634]; P granule [GO:0043186]; P-body [GO:0000932]; perinuclear region of cytoplasm [GO:0048471]; RNAi effector complex [GO:0031332]
Q10215	Q10215		"TRANSIT 1..25; /note=""Mitochondrion""; /evidence=""ECO:0000255"""	mitochondrion [GO:0005739]
Q9UGC7	Q9UGC7		"TRANSIT 1..26; /note=""Mitochondrion"""	mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
Q9C587	Q9C587			DNA replication factor C complex [GO:0005663]; nucleus [GO:0005634]
Q9R1A8	Q9R1A8			Cul4A-RING E3 ubiquitin ligase complex [GO:0031464]; Golgi membrane [GO:0000139]; nuclear speck [GO:0016607]
Q9WVM1	Q9WVM1			acrosomal vesicle [GO:0001669]; centralspindlin complex [GO:0097149]; cleavage furrow [GO:0032154]; extrinsic component of cytoplasmic side of plasma membrane [GO:0031234]; Flemming body [GO:0090543]; midbody [GO:0030496]; mitotic spindle [GO:0072686]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spindle [GO:0005819]; spindle midzone [GO:0051233]
Q9UTR5	Q9UTR5			cell cortex of cell tip [GO:0051285]; cell septum [GO:0030428]; cell tip [GO:0051286]; cytosol [GO:0005829]; division septum [GO:0000935]
O23523	O23523			cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]
Q9SAL0	Q9SAL0			cytoplasm [GO:0005737]; mitochondrion [GO:0005739]; nucleus [GO:0005634]
Q08116	Q08116			cytosol [GO:0005829]; extrinsic component of cytoplasmic side of plasma membrane [GO:0031234]; plasma membrane [GO:0005886]
Q9DC04	Q9DC04			cytoplasm [GO:0005737]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
O15539	O15539			cytosol [GO:0005829]; intracellular membrane-bounded organelle [GO:0043231]; plasma membrane [GO:0005886]
P49758	P49758			cytoplasm [GO:0005737]; cytosol [GO:0005829]; extrinsic component of membrane [GO:0019898]; neuron projection [GO:0043005]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
P49804	P49804			dendrite [GO:0030425]; extrinsic component of cytoplasmic side of plasma membrane [GO:0031234]; neuronal cell body membrane [GO:0032809]; nucleus [GO:0005634]; perikaryon [GO:0043204]; synapse [GO:0045202]
Q8L7S8	Q8L7S8		"TRANSIT 1..60; /note=""Chloroplast""; /evidence=""ECO:0000255"""	chloroplast [GO:0009507]; chloroplast envelope [GO:0009941]; chloroplast stroma [GO:0009570]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; plastid [GO:0009536]
Q70E73	Q70E73			cytoskeleton [GO:0005856]; cytosol [GO:0005829]; filopodium [GO:0030175]; lamellipodium [GO:0030027]; nuclear body [GO:0016604]; plasma membrane [GO:0005886]
Q8VZE7	Q8VZE7		"TRANSIT 1..78; /note=""Chloroplast""; /evidence=""ECO:0000255"""	chloroplast [GO:0009507]; chloroplast nucleoid [GO:0042644]; mitochondrial matrix [GO:0005759]; plastid nucleoid [GO:0042646]; ribonucleoprotein granule [GO:0035770]
A6NK89	A6NK89			cytosol [GO:0005829]; microtubule organizing center [GO:0005815]; spindle pole [GO:0000922]
Q6AXT7	Q6AXT7			cytoplasm [GO:0005737]; ribonucleoprotein complex [GO:1990904]; U4/U6 x U5 tri-snRNP complex [GO:0046540]
Q9PT60	Q9PT60			cytosol [GO:0005829]; lamellipodium [GO:0030027]; membrane [GO:0016020]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; spindle pole [GO:0000922]
Q12305	Q12305			endoplasmic reticulum [GO:0005783]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]
Q9LUJ3	Q9LUJ3			nucleoplasm [GO:0005654]; nucleus [GO:0005634]; RNA polymerase V complex [GO:0000419]
O14227	O14227			chromatin [GO:0000785]; chromosome, subtelomeric region [GO:0099115]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; mating-type region heterochromatin [GO:0031934]; nuclear RNA-directed RNA polymerase complex [GO:0031380]; nucleus [GO:0005634]; pericentric heterochromatin [GO:0005721]
Q9SNB6	Q9SNB6			cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]
O18973	O18973			cytosol [GO:0005829]; early endosome [GO:0005769]; endocytic vesicle [GO:0030139]; recycling endosome [GO:0055037]
Q84MH1	Q84MH1		"TRANSIT 1..32; /note=""Chloroplast""; /evidence=""ECO:0000255"""	chloroplast [GO:0009507]; mitochondrial matrix [GO:0005759]; plastid nucleoid [GO:0042646]; ribonucleoprotein granule [GO:0035770]
Q9LEB4	Q9LEB4			nucleus [GO:0005634]
Q92804	Q92804			cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q86YV0	Q86YV0			cell cortex [GO:0005938]; cytoplasm [GO:0005737]; cytoplasmic side of membrane [GO:0098562]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; membrane [GO:0016020]
Q15042	Q15042			cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; endoplasmic reticulum tubular network [GO:0071782]; extracellular exosome [GO:0070062]; Golgi apparatus [GO:0005794]; lipid droplet [GO:0005811]; postsynapse [GO:0098794]; protein-containing complex [GO:0032991]
Q9XI84	Q9XI84		"TRANSIT 1..57; /note=""Chloroplast""; /evidence=""ECO:0000255"""	chloroplast [GO:0009507]; chloroplast stroma [GO:0009570]
Q5ABZ2	Q5ABZ2			chromosome, telomeric region [GO:0000781]; cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q3UQS8	Q3UQS8			cytoplasmic ribonucleoprotein granule [GO:0036464]; nucleus [GO:0005634]
H2QII6	H2QII6			annulate lamellae [GO:0005642]; cytoplasm [GO:0005737]; nuclear envelope [GO:0005635]; nuclear membrane [GO:0031965]; nuclear pore [GO:0005643]
Q4Z8K6	Q4Z8K6			cytoplasm [GO:0005737]; GID complex [GO:0034657]; membrane [GO:0016020]; nucleus [GO:0005634]
Q09820	Q09820			cytoplasm [GO:0005737]; cytosol [GO:0005829]
Q9FVW4	Q9FVW4			cytoplasm [GO:0005737]; nucleolus [GO:0005730]; nucleus [GO:0005634]
P03871	P03871			nucleus [GO:0005634]
Q96S59	Q96S59			cytoplasm [GO:0005737]; cytosol [GO:0005829]; microtubule associated complex [GO:0005875]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; ubiquitin ligase complex [GO:0000151]
Q6VN19	Q6VN19			cytoplasm [GO:0005737]; microtubule cytoskeleton [GO:0015630]; nucleus [GO:0005634]; ubiquitin ligase complex [GO:0000151]
Q9LKZ3	Q9LKZ3			chromatin [GO:0000785]; DRM complex [GO:0070176]; nucleus [GO:0005634]; transcription regulator complex [GO:0005667]
P32841	P32841			condensed nuclear chromosome [GO:0000794]; nucleus [GO:0005634]
Q8H0P8	Q8H0P8			nuclear speck [GO:0016607]
P40893	P40893			cytoplasm [GO:0005737]
P38927	P38927			mitochondrion [GO:0005739]; zeta DNA polymerase complex [GO:0016035]
P15927	P15927			chromatin [GO:0000785]; chromosome, telomeric region [GO:0000781]; DNA replication factor A complex [GO:0005662]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; PML body [GO:0016605]
P38234	P38234			cytoplasm [GO:0005737]; membrane raft [GO:0045121]
B2GV50	B2GV50			cytoplasm [GO:0005737]; nucleus [GO:0005634]
F4IUX6	F4IUX6			cytoplasm [GO:0005737]; exon-exon junction complex [GO:0035145]; nucleolus [GO:0005730]; perinuclear region of cytoplasm [GO:0048471]; polysome [GO:0005844]
O75154	O75154			centriolar satellite [GO:0034451]; centrosome [GO:0005813]; cleavage furrow [GO:0032154]; cytosol [GO:0005829]; endocytic vesicle [GO:0030139]; endosome [GO:0005768]; intercellular bridge [GO:0045171]; intracellular membrane-bounded organelle [GO:0043231]; midbody [GO:0030496]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; recycling endosome [GO:0055037]; recycling endosome membrane [GO:0055038]
P40188	P40188			cytoplasm [GO:0005737]
Q9SS90	Q9SS90			nucleus [GO:0005634]; plasma membrane [GO:0005886]
Q8BL80	Q8BL80			cytoplasm [GO:0005737]; glutamatergic synapse [GO:0098978]; nucleus [GO:0005634]
P50861	P50861			cytoplasm [GO:0005737]; mitochondrial intermembrane space [GO:0005758]; nucleus [GO:0005634]; riboflavin synthase complex [GO:0009349]
Q9W358	Q9W358			cell cortex [GO:0005938]; cytoplasm [GO:0005737]; cytosol [GO:0005829]
Q10426	Q10426			chromosome [GO:0005694]; CLRC complex [GO:0043494]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; spindle pole body [GO:0005816]
P0CJ62	P0CJ62			cytoplasm [GO:0005737]; nucleus [GO:0005634]
P92959	P92959		"TRANSIT 1..50; /note=""Chloroplast""; /evidence=""ECO:0000255"""	chloroplast [GO:0009507]; chloroplast envelope [GO:0009941]; chloroplast stroma [GO:0009570]; mitochondrion [GO:0005739]; plastid [GO:0009536]; ribosome [GO:0005840]
O75570	O75570		"TRANSIT 1..?; /note=""Mitochondrion""; /evidence=""ECO:0000255"""	mitochondrion [GO:0005739]
Q6K9U2	Q6K9U2			chromosome, telomeric region [GO:0000781]; DNA replication factor A complex [GO:0005662]; nucleus [GO:0005634]; site of double-strand break [GO:0035861]
P53034	P53034			DNA replication factor C complex [GO:0005663]; Elg1 RFC-like complex [GO:0031391]; nucleus [GO:0005634]
Q6ZQM0	Q6ZQM0			cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; endosome membrane [GO:0010008]; plasma membrane [GO:0005886]; recycling endosome membrane [GO:0055038]
P49796	P49796			cytosol [GO:0005829]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
Q8W4E1	Q8W4E1		"TRANSIT 1..29; /note=""Mitochondrion""; /evidence=""ECO:0000255"""	mitochondrion [GO:0005739]
P87074	P87074			chromatin [GO:0000785]; nucleus [GO:0005634]; site of double-strand break [GO:0035861]
P36603	P36603			cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; ribonucleoside-diphosphate reductase complex [GO:0005971]
Q07844	Q07844			nucleolus [GO:0005730]; nucleus [GO:0005634]; preribosome, large subunit precursor [GO:0030687]
P82195	P82195		"TRANSIT 1..44; /note=""Chloroplast""; /evidence=""ECO:0000269|PubMed:10874046"""	chloroplast [GO:0009507]; ribosome [GO:0005840]
P24613	P24613		"TRANSIT 1..55; /note=""Chloroplast""; /evidence=""ECO:0000269|PubMed:10874046, ECO:0000269|PubMed:2076556, ECO:0000269|PubMed:2398071"""	chloroplast [GO:0009507]; ribosome [GO:0005840]
Q6EPW7	Q6EPW7			cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q9Y3P9	Q9Y3P9			centrosome [GO:0005813]; cytosol [GO:0005829]; microtubule associated complex [GO:0005875]
Q75JL2	Q75JL2			mitochondrion [GO:0005739]
Q8VIG1	Q8VIG1			chromatin [GO:0000785]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; transcription repressor complex [GO:0017053]
Q9GZR2	Q9GZR2			nuclear speck [GO:0016607]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q92546	Q92546			cytosol [GO:0005829]; Golgi membrane [GO:0000139]; membrane [GO:0016020]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]; Ric1-Rgp1 guanyl-nucleotide exchange factor complex [GO:0034066]; trans-Golgi network membrane [GO:0032588]
Q8NE09	Q8NE09			actin cytoskeleton [GO:0015629]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; fibrillar center [GO:0001650]; nucleus [GO:0005634]
P41220	P41220			cytoplasm [GO:0005737]; cytoplasmic side of plasma membrane [GO:0009898]; cytosol [GO:0005829]; mitochondrion [GO:0005739]; neuron projection [GO:0043005]; nucleolus [GO:0005730]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
P32862	P32862			cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q8H0U8	Q8H0U8			nucleus [GO:0005634]
Q53QZ3	Q53QZ3			cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]
Q8GWP5	Q8GWP5		"TRANSIT 1..61; /note=""Chloroplast""; /evidence=""ECO:0000255"""	chloroplast [GO:0009507]; chloroplast stroma [GO:0009570]
Q9STY4	Q9STY4		"TRANSIT 1..17; /note=""Chloroplast""; /evidence=""ECO:0000305"""	chloroplast [GO:0009507]
F4I5N6	F4I5N6			cytoplasm [GO:0005737]
Q9LY87	Q9LY87			nucleus [GO:0005634]; plasma membrane [GO:0005886]
Q6GYP7	Q6GYP7			cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q8IUC4	Q8IUC4			cytosol [GO:0005829]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]
P47924	P47924		"TRANSIT 1..56; /note=""Chloroplast""; /evidence=""ECO:0000255"""	chloroplast [GO:0009507]; chloroplast stroma [GO:0009570]
Q5EBL4	Q5EBL4			centriole [GO:0005814]; centrosome [GO:0005813]; ciliary basal body [GO:0036064]; cilium [GO:0005929]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]
P82245	P82245		"TRANSIT 1..71; /note=""Chloroplast""; /evidence=""ECO:0000269|PubMed:10874046"""	chloroplast [GO:0009507]; mitochondrial large ribosomal subunit [GO:0005762]
P23326	P23326		"TRANSIT 1..86; /note=""Chloroplast""; /evidence=""ECO:0000269|PubMed:10874046, ECO:0000269|PubMed:2271612"""	chloroplast [GO:0009507]; large ribosomal subunit [GO:0015934]
P15252	P15252			cytoplasm [GO:0005737]
Q9VMD6	Q9VMD6			cytoplasm [GO:0005737]; mitochondrion [GO:0005739]
Q9ZQ19	Q9ZQ19			chromosome, telomeric region [GO:0000781]; DNA replication factor A complex [GO:0005662]; nucleus [GO:0005634]; site of double-strand break [GO:0035861]
O43566	O43566			anchoring junction [GO:0070161]; centrosome [GO:0005813]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; dendritic spine [GO:0043197]; glutamatergic synapse [GO:0098978]; microtubule [GO:0005874]; nuclear body [GO:0016604]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; PML body [GO:0016605]; postsynaptic density [GO:0014069]; spindle [GO:0005819]; spindle pole [GO:0000922]
Q8N392	Q8N392			cytoplasm [GO:0005737]; cytoplasmic microtubule [GO:0005881]; cytosol [GO:0005829]; nuclear speck [GO:0016607]; plasma membrane [GO:0005886]; ruffle [GO:0001726]
Q9FN89	Q9FN89		"TRANSIT 1..43; /note=""Chloroplast""; /evidence=""ECO:0000255"""	chloroplast [GO:0009507]
Q9LSD0	Q9LSD0			cytoplasm [GO:0005737]; nucleus [GO:0005634]
P22798	P22798		"TRANSIT 1..61; /note=""Chloroplast""; /evidence=""ECO:0000269|PubMed:10874046"""	chloroplast [GO:0009507]; cytosolic large ribosomal subunit [GO:0022625]
Q9LE95	Q9LE95		"TRANSIT 1..72; /note=""Chloroplast""; /evidence=""ECO:0000269|PubMed:10874046, ECO:0000269|Ref.3"""	chloroplast [GO:0009507]; cytosolic large ribosomal subunit [GO:0022625]
P06509	P06509			chloroplast [GO:0009507]; cytosolic large ribosomal subunit [GO:0022625]
P82191	P82191		"TRANSIT 1..84; /note=""Chloroplast""; /evidence=""ECO:0000269|PubMed:10874046"""	chloroplast [GO:0009507]; ribosome [GO:0005840]
Q5U1Z0	Q5U1Z0			cytoplasm [GO:0005737]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]
Q9UKL0	Q9UKL0			DNA repair complex [GO:1990391]; histone deacetylase complex [GO:0000118]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; transcription regulator complex [GO:0005667]; transcription repressor complex [GO:0017053]
O13796	O13796			cytosol [GO:0005829]; RQC complex [GO:1990112]
P39531	P39531			cell tip [GO:0051286]; cellular bud [GO:0005933]; cellular bud neck [GO:0005935]; cytosol [GO:0005829]; endosome [GO:0005768]; exocyst [GO:0000145]; Golgi apparatus [GO:0005794]; site of polarized growth [GO:0030427]
Q9FVV7	Q9FVV7		"TRANSIT 1..37; /note=""Mitochondrion""; /evidence=""ECO:0000255"""	mitochondrion [GO:0005739]; nucleus [GO:0005634]
Q5SVD0	Q5SVD0			actin cytoskeleton [GO:0015629]; actin filament bundle [GO:0032432]; cytoplasm [GO:0005737]
Q06108	Q06108			cytoplasm [GO:0005737]
Q9Z2P4	Q9Z2P4			centrosome [GO:0005813]; cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q8RX26	Q8RX26			cytoplasm [GO:0005737]; nucleus [GO:0005634]
O43665	O43665			cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; synapse [GO:0045202]
Q99N37	Q99N37			bicellular tight junction [GO:0005923]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; plasma membrane [GO:0005886]
Q6TLK4	Q6TLK4			cytoplasm [GO:0005737]; endosome [GO:0005768]; membrane [GO:0016020]
Q6NLQ7	Q6NLQ7		"TRANSIT 1..54; /note=""Chloroplast""; /evidence=""ECO:0000255"""	chloroplast [GO:0009507]
O60182	O60182			chromatin [GO:0000785]; nuclear DNA replication factor C complex [GO:0043599]; nucleolus [GO:0005730]; nucleus [GO:0005634]
Q9CAQ8	Q9CAQ8			DNA replication factor C complex [GO:0005663]; nucleus [GO:0005634]
Q86YS3	Q86YS3			cleavage furrow [GO:0032154]; endocytic vesicle [GO:0030139]; endosome [GO:0005768]; extracellular space [GO:0005615]; microtubule organizing center [GO:0005815]; midbody [GO:0030496]; recycling endosome membrane [GO:0055038]; spindle [GO:0005819]
Q7TS73	Q7TS73			actin filament bundle [GO:0032432]; cytoplasm [GO:0005737]
P38339	P38339			actin cortical patch [GO:0030479]; cellular bud [GO:0005933]; cytoplasm [GO:0005737]; mating projection tip [GO:0043332]; prospore membrane [GO:0005628]
Q5ZMW5	Q5ZMW5			cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; focal adhesion [GO:0005925]
K7WIZ6	K7WIZ6		"TRANSIT 1..45; /note=""Chloroplast""; /evidence=""ECO:0000255"""	chloroplast [GO:0009507]
O74737	O74737			cell division site [GO:0032153]; cell tip [GO:0051286]; cytosol [GO:0005829]; nucleus [GO:0005634]
Q96UP3	Q96UP3			chromatin [GO:0000785]; chromosome, telomeric repeat region [GO:0140445]; nucleolus [GO:0005730]; nucleus [GO:0005634]
Q8W4B1	Q8W4B1			cytoplasm [GO:0005737]; nuclear dicing body [GO:0010445]; nuclear speck [GO:0016607]; nucleus [GO:0005634]
Q06738	Q06738			cytoplasm [GO:0005737]; cytosol [GO:0005829]; plastid [GO:0009536]
Q12188	Q12188			cohesin complex [GO:0008278]; condensed chromosome, centromeric region [GO:0000779]; condensed nuclear chromosome [GO:0000794]; nuclear meiotic cohesin complex [GO:0034991]; nucleus [GO:0005634]
O94762	O94762			chromosome [GO:0005694]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; RNA polymerase II, holoenzyme [GO:0016591]
Q75J96	Q75J96			cell cortex [GO:0005938]; cell leading edge [GO:0031252]; cytoplasm [GO:0005737]
Q9BSD3	Q9BSD3			chromosome [GO:0005694]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q94K75	Q94K75		"TRANSIT 1..63; /note=""Chloroplast""; /evidence=""ECO:0000255"""	chloroplast [GO:0009507]; extracellular region [GO:0005576]
Q80ZG1	Q80ZG1			cytoplasm [GO:0005737]; membrane [GO:0016020]; plasma membrane [GO:0005886]
Q9GSX9	Q9GSX9			aster [GO:0005818]; cell cortex [GO:0005938]; cytoplasm [GO:0005737]; kinetochore microtubule [GO:0005828]; spindle [GO:0005819]
